TITULO DEL PROYECTO,MUNICIPIO,FECHA,CATEGORIA,Unnamed: 4,COORDENADAS,LAT,LON,LAT_MUNICIPIO,LON_MUNICIPIO,LAT_GENERADA,LON_GENERADA
"REDACCIÓN DEL DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN AMBIENTAL ORDINARIA DEL PROYECTO DE CIRCUNVALACIÓN SAN SEBASTIÁN – HOSPITAL – ÁVALOS 2ª FASE. TRAMO: CONEXIÓN GM-1 – VÍA DE ACCCESO A LA LOMADA – LOMO DEL CLAVO/ÁVALOS"". SAN SEBASTIÁN. ISLA DE LA GOMERA”",SAN SEBASTIAN ,2023,MEDIOAMBIENTE,,"28.118667, -17.214667",28.118667,-17.214667,28.119333666666666,-17.214000333333335,28.119333666666666,-17.214000333333335
REDACCIÓN DEL ESTUDIO DE CONTAMINACIÓN DE SUELOS DEL PLAN MAESTRO DEL RECINTO FERIAL DE CANARIAS – INFECAR (LAS PALMAS DE GRAN CANARIA).,LAS PALMAS DE GRAN CANARIA,2023,MEDIOAMBIENTE,,"27.969000, -15.598000",27.969,-15.598,27.977800000000002,-15.5892,27.977800000000002,-15.5892
REDACCIÓN DE LA EVALUACIÓN DE IMPACTO ECOLÓGICO Y ESTRATEGIA ECOLÓGICA DEL PLAN MAESTRO DEL RECINTO FERIAL DE CANARIAS – INFECAR (LAS PALMAS DE GRAN CANARIA).,LAS PALMAS DE GRAN CANARIA,2023,MEDIOAMBIENTE,,"27.971000, -15.596000",27.971,-15.596,27.977800000000002,-15.5892,27.977800000000002,-15.5892
"INFORME DE COMPROBACIÓN DE LA CORRECTA APLICACIÓN DE LAS DISTINTAS MEDIDAS AMBIENTALES PROPUESTAS EN EL PROCEDIMIENTO DE EVALUACIÓN AMBIENTAL ESTRATÉGICA ORDINARIO DE LA MODIFICACIÓN PUNTUAL DEL PLAN GENERAL DE ORDENACIÓN DE GUÍA DE ISORA EN EL SECTOR “CUEVA DEL POLVO” EN EL PROYECTO DE URBANIZACIÓN CUEVA DEL POLVO (GUÍA DE ISORA, TENERIFE).",GUIA DE ISORA,2022,MEDIOAMBIENTE,,"28.321565, -16.599129",28.321565,-16.599129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
"REDACCIÓN DEL DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN AMBIENTAL SIMPLIFICADA DEL PROYECTO DE URBANIZACIÓN DEL PROYECTO DE INTERÉS INSULAR IMAGINE GREEN STUDIO (ADEJE, TENERIFE)",ADEJE,2022,MEDIOAMBIENTE,,"28.323565, -16.597129",28.323565,-16.597129,28.416315,-16.504379,28.416315,-16.504379
"INFORME DE VALORACIÓN BOTÁNICA Y FAUNÍSTICA DE LA CANTERA DE ESPIGÓN DE LOS RINCONES Y SU ENTORNO (LA OLIVA, FUERTEVENTURA).",LA OLIVA,2022,MEDIOAMBIENTE,,"28.341300, -14.008700",28.3413,-14.0087,28.3403,-14.009699999999999,28.3403,-14.009699999999999
"REDACCIÓN DEL INFORME AMBIENTAL DE FINCA LOS FONTE (FRONTERA, EL HIERRO)",FRONTERA,2022,MEDIOAMBIENTE,,"28.325565, -16.595129",28.325565,-16.595129,28.451965,-16.468729,28.451965,-16.468729
"REDACCIÓN DEL ESTUDIO AMBIENTAL DEL COMPLEJO DE TRICAMPA (SAN CRISTÓBAL DE LA LAGUNA, TENERIFE).",SAN CRISTOBAL DE LA LAGUNA,2022,MEDIOAMBIENTE,,"28.327565, -16.593129",28.327565,-16.593129,28.51233423076923,-16.408359769230767,28.51233423076923,-16.408359769230767
"REDACCIÓN DEL ESTUDIO DE PAISAJE (ANÁLISIS DE VISIBILIDAD) DEL COMPLEJO DE TRICAMPA (SAN CRISTÓBAL DE LA LAGUNA, TENERIFE).",SAN CRISTOBAL DE LA LAGUNA,2022,MEDIOAMBIENTE,,"28.329565, -16.591129",28.329565,-16.591129,28.51233423076923,-16.408359769230767,28.51233423076923,-16.408359769230767
"REDACCIÓN DEL INFORME AMBIENTAL PARCELAS INSTALACIÓN PLANTA SOLAR FOTOVOLTAICA ARURE (VALLE GRAN REY, LA GOMERA)",VALLE GRAN REY,2022,MEDIOAMBIENTE,,"28.120667, -17.212667",28.120667,-17.212667,28.120667,-17.212667,28.120667,-17.212667
REDACCIÓN DEL ESTUDIO AMBIENTAL DE LA IMPLANTACIÓN DE UN PROYECTO DE PLANTA DESALADORA DE AGUA DE MAR. PARA RIEGO DE CULTIVOS (600 m3/día) EN LOS SILOS TENERIFE.,LOS SILOS,2022,MEDIOAMBIENTE,,"28.331565, -16.589129",28.331565,-16.589129,28.465564999999998,-16.455129,28.465564999999998,-16.455129
"REDACCIÓN DEL INFORME AMBIENTAL INICIAL SOBRE LA IMPLANTACIÓN DE UN PROYECTO DE INTERÉS INSULAR (ADEJE, TENERIFE).",ADEJE,2021,MEDIOAMBIENTE,,"28.333565, -16.587129",28.333565,-16.587129,28.416315,-16.504379,28.416315,-16.504379
REALIZACIÓN DEL ANÁLISIS DE LA VEGETACIÓN DE LOS UNIDADES AMBIENTALES HOMOGÉNEAS DEL SECTOR COSTA CARDÓN EN SANTA CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,2021,MEDIOAMBIENTE,,"28.335565, -16.585129",28.335565,-16.585129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
REDACCIÓN DEL ESTUDIO Y ASESORAMIENTO DE AVIFAUNA EN VARIAS PARCELAS DE ARICO. TENERIFE,ARICO,2021,MEDIOAMBIENTE,,"28.337565, -16.583129",28.337565,-16.583129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
"REDACCIÓN DEL ESTUDIO Y ASESORAMIENTO DE AVIFAUNA EN EL ÁMBITO DEL PLAN PARCIAL PLAYA BLANCA (YAIZA, LANZAROTE).",YAIZA,2021,MEDIOAMBIENTE,,"29.039000, -13.629000",29.039,-13.629,29.039,-13.629,29.039,-13.629
ELABORACIÓN DEL DOCUMENTO-PROPUESTA DE RESTAURACIÓN DE VEGETACIÓN NATURAL DE LA CANTERA EL CORTIJO. GRAN CANARIA,SAN LORENZO,2021,MEDIOAMBIENTE,,"27.973000, -15.594000",27.973,-15.594,27.973,-15.594,27.973,-15.594
ACTUALIZACIÓN DE ESTUDIO DE IMPACTO AMBIENTAL PARA EL PROYECTO DE MODERNIZACIÓN MEJORA DE REGADÍO EN LA ZONA CENTRO-SUR DE FUERTEVENTURA T.M. DE TUINEJE.,TUINEJE,2021,MEDIOAMBIENTE,,"28.343300, -14.006700",28.3433,-14.0067,28.3433,-14.0067,28.3433,-14.0067
